# hyperhyper-eval: 1
# title: SuperSim (similarity), Swedish
# source-url: https://spraakbanken.gu.se/resurser/data/supersim-superlim.zip
# source-sha256: 319e731c2d0801a7bc0abed1ef029f64b919b34614ec6e5f68a787888ea702fd
# license: CC-BY-4.0
# license-evidence: CC BY 4.0 -- stated in readme.txt *inside* supersim-superlim.zip: "Data for 'SuperSim: a test set for word similarity and relatedness in Swedish', v1; Simon Hengchen, Nina Tahmasebi; University of Gothenburg; DOI 10.5281/zenodo.4660084; CC BY 4.0 to Hengchen/Tahmasebi"
# citation: Hengchen, Simon and Nina Tahmasebi (2021). SuperSim: a test set for word similarity and relatedness in Swedish. Proceedings of NoDaLiDa 2021, Reykjavik.
#
# Imported by tools/import_eval_data/import_ws.py (ADR 0001, phase P3).
# Transformation: selected columns 'Word 1', 'Word 2' and 'Average' from supersim_superlim/data/gold_similarity.tsv; the five per-annotator columns are not carried over (the package scores against the aggregate)
# No score was recomputed, rescaled or averaged; the aggregate column is
# taken exactly as upstream published it.
#
# Source rows: 1360; bundled rows: 1280.
#   dropped-multitoken: 63
#   dropped-self_pair: 1
#   dropped-duplicate: 16
word1	word2	score
bråka	rättfärdiga	0.0
elev	president	0.0
vinna	lyckas	4.6
låtsas	porträttera	0.4
typ	snäll	0.0
planet	sol	2.4
ärm	kropp	0.4
göra	tjäna	0.2
dollar	bock	0.0
äpple	sås	0.2
far	Gud	0.6
tobak	cigarett	2.8
träkol	kol	6.0
skola	lag	0.4
börja	gå	0.6
rum	bad	0.0
klubb	samhälle	0.4
kran	genomföra	0.0
kopp	dryck	0.0
dam	herre	2.6
ta	bära	1.0
styrelse	rekommendation	0.0
familj	planera	0.0
rikedom	prestige	0.0
far	dotter	0.2
kille	partner	3.8
kropp	ryggrad	0.6
rot	gräs	0.6
vän	kille	0.2
vän	gäst	1.0
fru	make	3.0
snö	storm	0.0
cent	storlek	0.0
tunga	hals	0.6
lycklig	galen	0.6
lycklig	arg	0.6
verktyg	genomföra	0.0
himmel	universum	1.8
ny	uråldrig	0.2
barnslig	dåraktig	0.8
nötkreatur	nötkött	1.8
alkohol	cocktail	3.0
cent	fru	0.0
behandling	återhämtning	2.0
administrering	förvaltning	6.4
cancer	sjukdom	2.8
kött	smörgås	0.4
politiker	president	3.6
vän	lärare	0.0
blomma	glödlampa	0.0
vinna	dominera	3.4
konsument	förtroende	0.0
absorbera	äga	0.0
atom	kol	0.0
mage	ven	0.2
göra	hända	0.0
bok	tema	0.0
sätta	hänga	2.2
ordbok	definition	1.0
förorening	atmosfär	0.0
hotell	reservation	0.0
kvinna	man	3.0
tarm	nerv	0.4
ben	knä	1.4
vinter	säsong	1.2
skick	pojke	0.0
trevlig	grym	1.6
japanska	amerikansk	0.2
vuxen	bebis	0.2
behållare	mus	0.0
mus	förvaltning	0.0
kvinna	fru	2.8
syndare	helgon	0.0
bar	bur	0.0
middag	frukost	1.2
konstig	udda	8.0
vin	brandy	1.6
kredit	information	0.0
kvällsmat	måltid	4.6
pengar	rikedom	4.8
acceptera	rekommendera	0.0
motta	ge	0.2
arbetstagare	mekaniker	0.6
skenbar	uppenbar	0.4
bacon	böna	0.4
härlig	underbar	8.6
minister	fest	0.0
hus	lägenhet	2.6
rum	säng	0.0
död	katastrof	0.0
skarp	tråkig	0.0
asyl	dårhus	0.0
glädje	stolthet	2.0
solnedgång	kväll	2.2
ben	nacke	1.0
rikedom	fattigdom	0.2
däck	mus	0.0
fokus	liv	0.0
otålig	ängslig	3.2
ärm	ven	0.2
frukost	kvällsmat	0.8
uthållighet	styrka	2.6
kläder	jacka	2.0
fantastisk	galen	0.0
fantastisk	arg	0.0
korkad	dum	8.8
OPEC	land	0.0
skvaller	nyheter	2.2
utrustning	tillverkare	0.0
botten	sida	0.6
gitarr	trumma	0.6
förkunna	meddela	7.2
försöka	tänka	0.0
plan	bil	0.6
opera	industri	0.0
kött	bröd	0.6
kille	trollkarl	0.4
solnedgång	soluppgång	2.2
imitera	porträttera	4.2
gräl	kritik	2.0
fotboll	tennis	0.8
lycka	tur	2.8
förstöra	göra	0.0
ord	likhet	0.0
ärm	handled	0.2
dörr	port	6.6
uppställning	uttag	0.0
nacke	ryggrad	1.4
avsluta	besluta	0.0
enkel	lätt	8.2
läkemedel	misshandel	0.0
onsdag	nyheter	0.0
dålig	bra	0.2
partiskhet	åsikt	0.8
meny	ordning	0.0
dum	tät	0.0
band	orkester	6.6
århundrade	år	1.2
kräva	undersöka	0.0
grov	kylig	0.0
kopp	objekt	1.2
hand	fot	1.4
ilska	humör	1.6
skådespelerska	skådespelare	7.2
fred	plan	0.0
intelligens	logik	2.6
vägg	tegel	0.6
säng	filt	0.0
muskel	ben	0.4
kompis	följeslagare	2.6
