# hyperhyper-eval: 1
# language: fr
# kind: analogy
# fr/analogy/capitals.tsv -- generated offline by bench/datagen (ADR 0001, phase P2).
# Generator model was Claude Opus 4.8 (LLM-proposed, human web-verified); build date 2026-07-22.
# Status of this file: LLM-proposed base pairs, then independently fact-verified against non-LLM sources; NOT a raw LLM dump.
# Relation type is capital-country; it is one-to-one and fact-verifiable (a capital has exactly one country).
# Verification sources (2026-07-22): Wikipedia 'List of national capitals' for the capital fact,
#   https://en.wikipedia.org/wiki/List_of_national_capitals ;
#   French Wikipedia 'Liste des capitales du monde' for the French spelling,
#   https://fr.wikipedia.org/wiki/Liste_des_capitales_du_monde .
# Verified base pairs used: 63, at a 100 percent verification rate; canonical pairs live in bench/datagen/pairs/fr_capitals.tsv.
# Compiled deterministically with seed 0 and a per-base-pair source cap of K equal to 5 questions; 315 quadruples total.
# Every term is a single token under hyperhyper.preprocessing.tokenize_string; multi-token country names were excluded upstream.
a	a_prime	b	b_prime
paris	france	ottawa	canada
paris	france	tallinn	estonie
paris	france	accra	ghana
paris	france	bogota	colombie
paris	france	minsk	biélorussie
madrid	espagne	rome	italie
madrid	espagne	berne	suisse
madrid	espagne	canberra	australie
madrid	espagne	islamabad	pakistan
madrid	espagne	bangkok	thaïlande
berlin	allemagne	reykjavik	islande
berlin	allemagne	santiago	chili
berlin	allemagne	luanda	angola
berlin	allemagne	khartoum	soudan
berlin	allemagne	zagreb	croatie
rome	italie	canberra	australie
rome	italie	pékin	chine
rome	italie	riga	lettonie
rome	italie	beyrouth	liban
rome	italie	caracas	venezuela
lisbonne	portugal	santiago	chili
lisbonne	portugal	prague	tchéquie
lisbonne	portugal	islamabad	pakistan
lisbonne	portugal	oslo	norvège
lisbonne	portugal	bucarest	roumanie
vienne	autriche	oslo	norvège
vienne	autriche	accra	ghana
vienne	autriche	bruxelles	belgique
vienne	autriche	doha	qatar
vienne	autriche	harare	zimbabwe
athènes	grèce	berne	suisse
athènes	grèce	santiago	chili
athènes	grèce	bagdad	irak
athènes	grèce	tripoli	libye
athènes	grèce	harare	zimbabwe
bruxelles	belgique	amman	jordanie
bruxelles	belgique	caracas	venezuela
bruxelles	belgique	stockholm	suède
bruxelles	belgique	zagreb	croatie
bruxelles	belgique	athènes	grèce
dublin	irlande	dakar	sénégal
dublin	irlande	lisbonne	portugal
dublin	irlande	caracas	venezuela
dublin	irlande	ottawa	canada
dublin	irlande	alger	algérie
oslo	norvège	bratislava	slovaquie
oslo	norvège	pékin	chine
oslo	norvège	téhéran	iran
oslo	norvège	athènes	grèce
oslo	norvège	riga	lettonie
stockholm	suède	kiev	ukraine
stockholm	suède	ljubljana	slovénie
stockholm	suède	doha	qatar
stockholm	suède	ankara	turquie
stockholm	suède	santiago	chili
helsinki	finlande	prague	tchéquie
helsinki	finlande	canberra	australie
helsinki	finlande	téhéran	iran
helsinki	finlande	pékin	chine
helsinki	finlande	chisinau	moldavie
copenhague	danemark	lima	pérou
copenhague	danemark	kaboul	afghanistan
copenhague	danemark	berne	suisse
copenhague	danemark	rome	italie
copenhague	danemark	harare	zimbabwe
varsovie	pologne	santiago	chili
varsovie	pologne	téhéran	iran
varsovie	pologne	paris	france
varsovie	pologne	vienne	autriche
varsovie	pologne	dakar	sénégal
prague	tchéquie	khartoum	soudan
prague	tchéquie	reykjavik	islande
prague	tchéquie	tripoli	libye
prague	tchéquie	kampala	ouganda
prague	tchéquie	luanda	angola
budapest	hongrie	tunis	tunisie
budapest	hongrie	ankara	turquie
budapest	hongrie	paris	france
budapest	hongrie	doha	qatar
budapest	hongrie	bangkok	thaïlande
moscou	russie	kampala	ouganda
moscou	russie	lima	pérou
moscou	russie	bratislava	slovaquie
moscou	russie	budapest	hongrie
moscou	russie	dakar	sénégal
berne	suisse	ljubljana	slovénie
berne	suisse	tripoli	libye
berne	suisse	lima	pérou
berne	suisse	lisbonne	portugal
berne	suisse	copenhague	danemark
sofia	bulgarie	santiago	chili
sofia	bulgarie	damas	syrie
sofia	bulgarie	prague	tchéquie
sofia	bulgarie	budapest	hongrie
sofia	bulgarie	harare	zimbabwe
bucarest	roumanie	canberra	australie
bucarest	roumanie	oslo	norvège
